id,response rate,accuracy,"top, more powerful",,"top, less powerful",,"bottom, more powerful",,"bottom, less powerful",,"left, more powerful",,"left, less powerful",,"right, more powerful",,"right, less powerful",,top-down,,bottom-up,,left-right,,right-left,,free response,#1 visualization,#1 direction,#1 correct,#2 visualization,#2 direction,#2 correct,#3 visualization,#3 direction,#3 correct,#4 visualization,#4 direction,#4 correct,how to make it easier
120,89.58%,76.74%,603 78,6/6,678 141,2/6,878 265,4/6,804 308,4/6,687 203,4/6,965 255,2/6,928 280,5/6,1040 252,6/6,683 227,10/12,812 250,6/12,898 291,10/12,938 274,7/12,"After the first trial I had determined most of who was in power in what order. During the second trial I was able to put those people in an exact order. I used a combination of names, shirt colors, and point of reference from the lowest in power, highest in power, and mid-level power to determine which choice was best. During the period after the referenc person was shown I was counting up or down base on the color and numbr shows. Example: Jacob, Joshua, red shrt, green shirt, and Nicols (although his name was Nichols).",right,UP,False,up,UP,False,left,DOWN,False,left,DOWN,False,It was challenging enough to make me think. Nothing to change though.
121,97.91%,27.65%,571 113,3/6,nan nan,0/6,nan nan,0/6,553 0,1/6,731 0,1/6,463 0,1/6,550 163,4/6,711 153,3/6,567 98,4/12,nan nan,0/12,716 132,4/12,533 150,5/12,"facial recogniton, facial expresion

after the reference and the number appeared, but bfore the 4 response choice i would say this person is # degress more powerful/powerless than .....",down,UP,False,up,DOWN,False,down,UP,True,up,DOWN,False,not more difficult
122,97.91%,29.78%,756 0,1/6,1129 263,4/6,nan nan,0/6,726 49,2/6,581 158,2/6,864 190,2/6,533 0,1/6,452 364,2/6,736 43,3/12,1129 263,4/12,516 288,4/12,754 220,3/12,I memorized the most powerful 5 indivudals in the organization and counted up or down from there based on the number that was shown. Even though I knew the corret answer the time provided to pick a person was very little and thus hard to choose the correct person. It seems like there is alot of quick math involved and facial recognition. Other than that I was just trying to do the simpe math as quick as possible bt would get confused with the individuals in between.,down,DOWN,False,up,UP,True,up,UP,False,down,DOWN,False,Maybe individuals that look a little more different. Most of the images used seems fairly similar.
123,87.5%,26.19%,nan nan,0/6,746 0,1/6,923 0,1/6,nan nan,0/6,789 0,1/6,766 34,3/6,809 323,3/6,870 399,2/6,nan nan,0/12,834 88,2/12,843 328,3/12,788 230,6/12,"I attempted to remember who I believed had the most power, however everytime I picked a certain person I mostly got the answer wrong. I did not fully understand the second task and it went rather fast.",down,DOWN,True,up,UP,False,up,UP,True,down,DOWN,False,Time limit I believe was my biggest struggle.
124,95.83%,93.47%,623 112,6/6,653 90,6/6,832 245,5/6,815 146,6/6,774 108,5/6,891 241,6/6,1003 247,5/6,1038 230,4/6,719 162,12/12,734 199,11/12,891 217,9/12,942 250,11/12,"In my head, i imagined a totem-pole like heirarchy with each person's face and name, and I would count up or down. Often I would feel pressed for time and go with the first answer to pop in my head and then try to confirm that answer by counting.",up,UP,True,down,DOWN,True,up,UP,True,down,DOWN,True,Nothing I can think of.
125,91.66%,40.90%,690 56,2/3,701 0,1/3,1090 177,2/3,nan nan,0/3,nan nan,0/3,786 0,1/3,680 0,1/3,868 33,2/3,690 56,2/6,960 234,3/6,868 33,2/6,733 53,2/6,i really relied on my gut because i was having trouble visualizing,up,UP,True,down,DOWN,False,up,UP,True,down,DOWN,False,no
126,95.83%,86.95%,724 93,2/3,711 238,2/3,920 193,3/3,1105 210,3/3,596 18,3/3,654 7,2/3,556 64,2/3,920 188,3/3,953 255,5/6,836 235,5/6,758 210,6/6,605 67,4/6,"I remebered who were the top 2 and bottom 2 on the power spectrum. then through trial and error figured out the rest. After the reference period, I tried to count up or down the power spectrum and hope to get the answer before the four photos appeared.",down,DOWN,True,down,DOWN,True,up,UP,True,up,UP,True,a second or two longer after the reference pcture disapears to figure out the answer
127,91.66%,50.0%,1056 0,1/3,836 298,2/3,754 0,1/3,1353 0,1/3,1119 0,1/3,840 183,2/3,1478 0,1/3,1066 250,2/3,1204 148,2/6,809 246,3/6,1083 205,3/6,1052 336,3/6,I was trying to look at the different hairstyles to help me remember who was ranked higher in power than the others. I am not entirely sure what I was doing but I felt like I was ranking people more on how healthy they looked rather than how much power they had.,up,UP,False,down,DOWN,True,none,DOWN,False,up,UP,False,I found this task very difficult but I would say to incorporate more diverse ethnicities into the experiment.
128,75.0%,27.77%,182 0,1/3,nan nan,0/3,nan nan,0/3,287 0,1/3,324 0,1/3,nan nan,0/3,265 0,1/3,817 0,1/3,234 52,2/6,nan nan,0/6,570 247,2/6,265 0,1/6,"pretty straightforward, just memorized the patterns of who is more powerful than who. the 4 response choice was a little more difficult since i had to remeber who was the most powerful out of 4 people.",up,DOWN,False,left,DOWN,False,up,UP,False,up,UP,False,more time to think about the response
129,95.83%,78.26%,653 85,3/3,1000 245,2/3,919 240,2/3,861 249,2/3,965 117,3/3,769 0,1/3,1038 267,3/3,638 141,2/3,736 199,5/6,959 246,4/6,834 205,5/6,970 259,4/6,"I tried my best to think of the order of all the people, and did so by using a reference with Nicholas. Who was above and below Nicholas. I think I used Nicholas as a starting point just because my name is the same as his. I found it harder going down than going up.",up,UP,True,down,DOWN,True,up,UP,True,down,DOWN,True,Nothing. Thought it was fairly easy to eventually know the order.
